entryId,indexId,timeStep,originFed,ID11B,ID18B,federateFilter,ACKslot,EndOfFrame,sourceFed,IDE,StartOfFrame,actualLogicalGenerationTime,RTR,SRR,ReservedBit1,ReservedBit2,DataField,CRC,Parameter,DLC
1,1,1,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,0,,,
2,1,151,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,3,,,
3,1,201,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,6,,,
4,1,251,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,9,,,
5,1,301,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,13,,,
6,1,401,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,17,,,
7,1,1101,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,16,,,
8,1,1301,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,17,,,
9,1,1401,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,19,,,
10,1,1501,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,21,,,
11,1,1751,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,22,,,
12,1,2051,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,24,,,
13,1,2101,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,25,,,
14,1,2151,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,26,,,
15,1,2351,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,22,,,
16,1,2401,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,19,,,
17,1,2451,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,16,,,
18,1,2501,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,12,,,
19,1,2551,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,9,,,
20,1,2601,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,6,,,
21,1,2651,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,3,,,
22,1,2701,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,FTP75Speed,COA,,,,FederationManager-b5acc41b-8158-4f4a-af80-86ac5e046aff,,,0.0,,,,,0,,,
